"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"NoMadMusic";"NoMadMusic permet aux utilisateurs d'écouter et de télécharger la musique de son propre label.";"http://www.nomadmusic.fr/";"Musique";"Streaming, Téléchargement";"À l'acte, Gratuit";"Sans DRM";"Indépendant";"Web, Windows, Mac Os X";"Qualité HD";"Œuvres protégées";""
"Shazam";"Shazam permet, à travers son application mobile, d'identifier des morceaux de musique d'ambiance, ainsi que de les télécharger via iTunes ou Amazon.";"http://www.shazam.com/";"Musique";"Streaming";"À l'acte";"Non précisé";"Catalogue Major, Indépendant";"Web, Windows, Mac Os X, iOS, Android";"Lien vers des services tiers";"Œuvres protégées";""
"Chine ancienne";"Bibliothèque de livres numériques du domaine public concernant la Chine ancienne, à télécharger gratuitement.";"http://www.chineancienne.fr/";"eBook";"Streaming, Téléchargement";"Gratuit";"Sans DRM";"Littérature";"Web, Windows, Mac Os X";"";"Domaine public";""
"Dramapassion";"Dramapassion est un service de vidéo à la demande gratuit et par abonnement de séries TV coréennes.";"http://www.dramapassion.com/";"VOD & SVOD";"Streaming, Téléchargement";"Abonnement, Gratuit";"Non précisé";"";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Fnac JUKEBOX";"fnac JUKEBOX est un service de musique en streaming par abonnement.";"http://fnacjukebox.com/";"Musique";"Streaming";"Abonnement";"Non précisé";"Catalogue Major, Indépendant";"Web, Windows, Mac Os X";"Accès hors ligne";"Œuvres protégées";""
"Bookly";"Bookly est une plateforme de financement participatif de livre numérique proposant ses participants la publication de leurs œuvres sur l'iBookstore et sur d'autres plateformes.";"http://bookly.fr/";"Crowdfunding";"";"";"Non précisé";"Livre";"Web, Windows, Mac Os X";"Distribution, Production";"Œuvres protégées";""
"noco";"noco est un service de vidéo à la demande par abonnement proposant plusieurs catalogues. On y trouve les émissions de la chaîne Nolife mais aussi des séries ou des documentaires. Ce service permet aux utilisateurs d’interagir avec les autres utilisateurs et de regarder des émissions simultanément avec eux.";"http://noco.tv/";"VOD & SVOD";"Streaming, Téléchargement";"Abonnement";"Avec DRM";"Série TV, Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD";"Œuvres protégées";""
"Shorts TV";"Shorts TV propose des court-métrages en version originale sous-titrée en location.";"";"VOD & SVOD";"Téléchargement";"À l'acte, Abonnement";"Non précisé";"Court métrage";"Numericable";"Sous-titres VOST";"Œuvres protégées";""
"NC 3D";"NC 3D est le service de Numericable dédiée aux films en 3D.";"";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Cinéma et fiction TV";"Numericable";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Mezzo";"Mezzo est une chaîne proposant des concerts et spectacles de musique classique, jazz, opéra et danse.";"";"VOD & SVOD";"Streaming";"À l'acte, Abonnement";"Non précisé";"Spectacle / Concert";"Numericable";"Qualité HD";"Œuvres protégées";""
"MCS VOD";"Ma Chaîne Sport propose des vidéos de séances sportives et de bien-être.";"";"VOD & SVOD";"Téléchargement";"À l'acte, Abonnement";"Non précisé";"Sport / Lifestyle";"Numericable";"";"Œuvres protégées";""
"Zouzous (Ludo)";"Le pass Ludo propose des séries TV de dessins animés en illimité pour les enfants.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Dessin animé / Manga";"Numericable";"";"Œuvres protégées";""
"Gulli VOD";"Le pass Gulli, disponible via la box Numericable, propose en illimité toute la programmation de la chaîne Gulli.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Cinéma et fiction TV, Dessin animé / Manga";"Numericable";"";"Œuvres protégées";""
"Purescreens";"Purescreen propose des belles images constituant un fond d'écran pour la télévision.";"";"VOD & SVOD";"Téléchargement";"À l'acte, Abonnement";"Non précisé";"Documentaire / Émission";"Numericable";"Qualité HD";"Œuvres protégées";""
"613TV";"613TV est une chaïne dédiée au judaïsme proposant des émissions et des documentaires à la demande.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Spectacle / Concert, Documentaire / Émission, Dessin animé / Manga";"Freebox, Numericable";"";"Œuvres protégées";""
"Wittiz";"Wittiz permet à ses utilisateurs de consulter et de partager des scènes courtes de films, de séries ou d'émissions cultes.";"http://wittizapp.com/";"VOD & SVOD";"Streaming";"Gratuit";"Sans DRM";"Série TV, Cinéma et fiction TV";"iOS";"";"Œuvres protégées";""
"Editions Larcier";"Les Éditions Larcier sont particulièrement réputées pour la publication des Codes Larcier, de revues juridiques scientifiques de haut niveau, de monographies de grande qualité et d’ouvrages plus généraux, tant en version imprimée qu’en version électronique.";"http://editionslarcier.larciergroup.com/ebooks/30934_2/ebooks.html";"eBook";"Téléchargement";"À l'acte";"Non précisé";"Presse / Revue, Livre pratique";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"ComiXology";"ComiXology met à disposition du plus grand nombre une plateforme cloud de livres numériques qui permet la découverte, l’achat et la lecture de BD, comics et mangas.";"https://www.comixology.fr/";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"BD";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"";"Œuvres protégées";""
"292contents";"292contents propose des livres numériques qui mêlent texte, musique et illustrations et invitent le lecteur à s’aventurer dans un univers vaste empruntant autant à l’heroic fantasy qu’à la science-fiction.";"http://www.292contents.com/";"eBook";"Streaming";"À l'acte, Gratuit";"Non précisé";"Littérature";"Web, Windows, Mac Os X";"Livre enrichi";"Œuvres protégées";""
"Hatier";"Plateforme des éditions Hatier proposant des ouvrages scolaires et jeunesse.";"http://www.editions-hatier.fr/hatier-search?f[0]=field_support_physique_agg%3A53&sort_by=search_api_relevance&sort_order=DESC";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Livre pratique, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"Lien vers des services tiers";"Œuvres protégées";""
"Editions Retz";"Plateforme des Editions Retz proposant des ouvrages éducatifs et pratiques.";"http://www.editions-retz.com/numerique.html";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Livre pratique, Jeunesse / Éducatif";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"Nathan";"Nathan est une plateforme proposant des manuels scolaires numériques.";"http://www.nathan.fr/manuels-numeriques/eleves/index.html";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Jeunesse / Éducatif";"Web, Windows, Mac Os X, iOS, Android";"Livre enrichi";"Œuvres protégées";""
"Bordas";"Bordas est une plateforme proposant des manuels scolaires numériques.";"http://www.editions-bordas.fr/manuels-numeriques-eleves/index.html";"eBook";"Téléchargement";"À l'acte";"Avec DRM";"Jeunesse / Éducatif";"Web, Windows, Mac Os X, iOS, Android, GNU / Linux";"Livre enrichi";"Œuvres protégées";""
"Libthèque";"La libthèque est une plateforme proposant des manuels scolaires numériques des éditions Belin.";"http://www.libtheque.fr/index.php";"eBook";"Téléchargement";"Abonnement";"Avec DRM";"Jeunesse / Éducatif";"Web, Windows, Mac Os X, iOS, Android";"";"Œuvres protégées";""
"Disneytek";"Plateforme de vidéo à la demande de films et séries de Disney.";"";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Série TV, Cinéma et fiction TV, Dessin animé / Manga";"Freebox";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Films d'Afrique";"Plateforme de vidéo à la demande de films et séries africaines.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Cinéma et fiction TV";"Freebox, Numericable";"";"Œuvres protégées";""
"Pass cinéma";"Service de cinéma par abonnement proposé par SFR pour les clients box ou fibre de SFR avec option télévision.";"http://club-video.sfr.fr/webapp/wcs/stores/servlet/Pass?storeId=10251&catalogId=11151&langId=-2&menuPage=pass_cinema";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Cinéma et fiction TV, Dessin animé / Manga";"SFR";"";"Œuvres protégées";""
"abctek";"Plateforme de vidéo à la demande proposant des séries TV américaines.";"";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Série TV";"Freebox, Numericable";"Qualité HD, Séries dispo 24h après diffusion, Sous-titres VOST";"Œuvres protégées";""
"Pass Kids";"Service de séries et dessins animés par abonnement.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Dessin animé / Manga";"SFR";"";"Œuvres protégées";""
"Pass M6";"Offre de séries en illimité par abonnement éditée par le Groupe M6.";"http://www.m6.fr/passm6/";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Dessin animé / Manga";"Numericable, SFR, Livebox, BBOX";"Qualité HD, Séries dispo 24h après diffusion, Sous-titres VOST";"Œuvres protégées";""
"Disney Channel Avant-première";"Les films et séries de Disney Channel, une semaine avant tout le monde par abonnement.";"";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Série TV, Cinéma et fiction TV, Dessin animé / Manga";"Numericable, SFR, Livebox, BBOX";"";"Œuvres protégées";""
"Coach Club";"Plateforme vidéo de coaching sportif et bien-être.";"http://www.coachclub.com/home/home";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Sport / Lifestyle";"Web, Windows, Mac Os X, Freebox";"";"Œuvres protégées";""
"Bbox VOD";"Films et séries au paiement à l'acte disponibles via la box de Bouygues Telecom.";"https://www.bbox-vod.bouyguestelecom.fr/";"VOD & SVOD";"Téléchargement";"À l'acte";"Non précisé";"Série TV, Cinéma et fiction TV, Documentaire / Émission, Dessin animé / Manga";"Web, Windows, Mac Os X, BBOX";"Sous-titres VOST";"Œuvres protégées";""
"Academy video";"Plateforme de vidéo à la demande proposant des cours de sport, danse, cuisine et d'autres formations, disponible via la Freebox.";"http://academy-video.com/";"VOD & SVOD";"Téléchargement";"À l'acte, Abonnement";"Non précisé";"Sport / Lifestyle, Documentaire / Émission";"Freebox";"";"Œuvres protégées";""
"Rue des Promenades";"Rue des Promenades choisit les textes pour ce qu’ils nous disent, mais d’abord pour la façon dont ils le disent. Pour la force avec laquelle l’écriture fait surgir une réalité. Elle enrichit son catalogue au fil des saisons, à raison de quelques nouveautés par an. Elle a fait le choix, en 2009, d’ouvrir en proposant ses livres en format numérique. Depuis 2010, elle propose une partie de ses titres en format papier.";"http://www.ruedespromenades.com/";"eBook";"Téléchargement";"À l'acte";"Sans DRM";"Littérature";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
